title,grade,element,way
정말 맛있는 우삼겹 덮밥 규동 레시피! 간단한 한끼로 딱입니다.,초급, 우삼겹 250g# 양파 1/4개# 설탕 1큰술# 맛술 1큰술# 올리고당 1큰술# 간장 2큰술# 다진마늘 1큰술#,"양파 1/4개는 송송 썰어줍니다#양념장을 만들어주세요., 설탕 1큰술, 맛술 1큰술, 올리고당 1큰술, , 간장 2큰술, 다진마늘 1큰술#팬에 우삼겹 250g을 넣고 먼저 볶아주세요.#고기가 다 익으면 양파를 넣고 , 후추 살짝 뿌려 1분간 볶아줍니다.#양파가 반투명하게 익으면 , 키친타올로 우삼겹의 기름을 닦아주세요.기름을 안닦고 요리하면 엄청..느끼해져요!#양념장을 넣고 2분간 볶아주세요.고춧가루, 청양고추, 페페론치노 추가해도 좋아요#뜨거운 밥 위에 올려서 드시면 됩니다.계란후라이, 달걀노른자 추가하면 더 좋아요#"
두부강정 맵지않은 소스로 아이들 입맛까지 확 ~,아무나, 두부 1모# 부침가루 약간# 식용유 약간# 케첩 3큰술# 올리고당 2큰술# 설탕 1큰술# 간장 2큰술# 다진마늘 1큰술#,"재료도 간단하고 만드는법도 간단한 , 아이들 입맛사로잡는 두부요리 !, 두부강정 만드는법 알려드릴께요 :)#두부는 부침가루에 골고루 묻혀줄껀데요, 그 전에 두부에 있는 물기를 어느정도 제거해줘야 해요, 키친타월이나 주방용 면보를 사용하셔서, 두부에 묻어있는 물기를 제거해주세요#물기를 어느정도 제거해준뒤에는, 먹기 좋은 크기로 잘라주세요, 너무 작게 잘라서도 해봤는데 튀겨줄때 조금 귀찮더라고요 ㅎㅎ, 그래서 저는 깍두기보다 조금 더 큰 크기로 잘라줬어요#그 다음은 두부에 부침가루를 골고루 묻혀줄 차례인데요, 손으로 하나하나 묻혀주는것도 좋지만 제일 간단한 방법으로는, 요렇게 위생봉투를 사용하는 것이지요 !, 위생봉투안에 부침가루를 적당량 넣어주고, 썰어둔 두부를 몽땅 넣어 흔들흔들 흔들어주세요 ~, 그럼 손에 묻히지 않고도 두부에 부침가루를 골고루 입힐수 있어요#부침가루 곱게 입은 두부들을 이제 튀겨줄꺼예요, 프라이팬에 식용유를 적당히 둘러주세요, 튀길때는 기름이 조금 많이 들어가니 넉넉하게 둘러주시면 좋겠지요, 그리고 중간불 정도의 세기에 맞춰두고 두부를 올려주세요, 부침가루가 너무 많이 묻어있는 두부는 한번씩 탈탈 털어서 올려주세요 ~#두부가 노릇하게 익는동안 약간의 시간이 걸리는데요, 이때 두.부.강.정 소스를 만들어 주면되요, 케첩 3큰술, 간장 2큰술, 설탕 1큰술, 다진마늘 1큰술, 올리고당 2큰술, 분량대로 넣어서 골고루 섞어서 준비해주세요, 조금 매콤한걸 원하시면 고추장을 1큰술 정도 넣어주셔도 좋을듯해요#두부는 요리조리 돌려줘가며 골고루, 노릇노릇하게 익혀주세요 ~#하게 익혀준 두부들은 키친타월에 올려, 기름기를 살짝 제거해주시고요#아까 만들어뒀던 분량의 소스를 한번 끓여줄꺼예요, 너무 팍 끓이면 안되고 은근한불에 살짝만 데운다는 느낌으로, 끓여주세요#소스가 파르르 끓어오르기 시작하면 불을 꺼주시고요, 잘 튀겨준 두부들을 넣어서 골고루 섞어주세요#골고루 섞어주기만 하면 맛있는 두부강정 완성이예요 !, 평소 저희 아이들은 두부를 그리 좋아하진 않아요, 근데 요거 해주면 잘 안먹던 두부도 너무 잘먹는답니다, 새콤달콤한 소스가 아이들 입맛 사로잡는데 한몫더했겠죠 ㅎ#"
해물찜처럼 맛있는 백종원 소시지콩나물찜,아무나, 콩나물 1봉# 비엔나소시지 1봉# 대파 1대# 양파 1/2개# 믈 1컵(종이컵)# 고추장 2T# 고추가루 2T# 간장 4T# 설탕 1T# 간마늘 1T# 참기름 1T#,"먼저 콩나물 1봉지를 깨끗이 씻어 체에 받쳐 둡니다.#양파는 얇게 채썰어 주시구 대파와 비엔나소시지는, 어슷썰기를 해 줍니다.비엔나소시지를 더 건강하게 드시려면 뜨거운 물에 한번 데쳐주세요#팬에 식용유 약간 두르고 소시지를 달달달 볶다가 절반정도 익으면 종이컵기준 물1컵을 붓고 끓여 주세요#물이 끓으면 대파,양파, 콩나물을 넣구 참기름을 제외한, 양념을 다 넣고 섞어줍니다#뚜껑을 닫고 팔팔 끓여 주세요.처음에는 물이 너무 적나 싶지만 야채에서 수분이 나오니 걱정안하셔도 되요, , #콩나물 숨이 죽고 국물이 자작해지면 전분1T에 물2T를 섞어 전분물을 만들어 조금씩 부어줍니다전분물을 넣으면 국물이 금방 걸죽하게 되요#국물이 걸죽해지면 참기름1스푼넣고 섞어주심 끝!#해물찜처럼 칼칼하고 맛있는 밥도둑 백주부님 '소시지콩나물찜'이 완성되었어요.콩나물과 소시지를 함께 한입 먹어보니 아삭아삭한 콩나물에 소시지가 어우려져 참 맛있어요. 뜨끈한 밥에 김가루 약간 넣고 비벼 먹어두 넘 맛있어요#"
【스팸감자볶음만들기】,아무나, 감자(중간사이즈) 2개# 스팸 200g# 양파 1/2개# 진간장 2T# 물엿 2T# 물 3~4T# 식용유 1T# 참기름 1T#,"감자(중간사이즈)두개를 깍뚝 썰어서 물에 담궈 주시구요~#스팸(200g짜리)이랑 양파반개도 마찬가지로 깍뚝 썰어 주세요~#끓는물에 감자를 2분간 데쳐 주시구요~#감자 데친물 그대로 스팸도 10초정도 담궈 첨가물을 빼주셔요^^#팬에 식용유한스푼, 참기름 한스푼 넣고 감자를 볶아 주시다가#양파를 넣고~, (당근을 넣으심 더이뻐요~당근을 넣으실땐 당근역시 1분정도 데쳐서 이때 넣어 주심 됩니다^^, 감자 데친 물그대로, 감자->당근->스팸 순서로 데치심 되세요^^)#스팸넣어 볶아 주세요^^, 타지 않게 중불로 볶아 주세요^~^#양파가 살짝 익었다 싶으실때 진간장2스푼,물3~4스푼,물엿2스푼 넣어서 볶으면서 졸여 주세요^~^#요렇게 국물이 없어지면 불을끄고 잔열로 감자를 익혀 주심 됩니다^~^, 너무 오래 볶으시면 감자가 다부서 질수 있어요^^#달달하면서 짭조름~~, 쏙쏙 골라먹는 재미가 굿이에용^~^ , 재료도 간단,방법도 간단 오늘 저녁 반찬으로 어떠세용^~^, ※감자 볶음과 맑은 감자국 바로 가기☞ @6866831 #"
500원 이면 밥한끼~ 뚝딱하는 팽이버섯조림~ 너무 맛있어용^^~,아무나, 팽이버섯 1봉지# 청양고추 1개# 식용유 2스푼# 다진마늘 1큰술# 고추가루 1/2스푼# 설탕 1스푼# 미림 2스푼# 진간장 1스푼# 굴소스 1/2스푼# 고추장 1/3스푼# 된장 1/3스푼# 물 2스푼#,"계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다., 팽이버섯 1봉지~ 약 150g 을 봉지채로 아래에서 3cm 정도 부분을 그대로 썰어 줍니다~ 요래 썰어 주면 뿌리부분에 뿌스러기도 안떨어지고 처리하기가 좋아용~, 우리동네 팽이는 한봉지 180g 인데? 하시는분 걱정 마시고 그냥 다 쓰시면 됩니다~ 그정도 차이는 양념으로 커버 가능함!, **사진과 설명으로 부족하신 분은 링크된 동영상 참고 해주세요. 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~ 구독해 주시면 땡큐~~                    , ,                             [신선마켓] 팽이버섯 3개 한묶음                        , , #버섯은 흐르는물에 가볍게 씻거나 찬물에 담궈서 10초 정도만 흔들어 주면서 먼지 같은거만 제거합니다~ 팽이버섯은 너무 오래 담그면 팽이 특유의 향이 날아갈 뿐만 아니라~ 아직 살아 있는 아이라~곧 찌지고 뽁아질 지 운명을 모르고 더 오래 장수 할라고 물을 쫙쫙~ 빨아 들여서 나중에 지질때 빨아 먹은 물까지 다 뱉아 내서 철때반죽이 됩니다~ , 가볍게 씻어서 물을 탈탈 털어서 준비하세요~#버섯을 찢어서 준비하세요~ 한번 찢을때 15줄기 정도가 붙어 있는 정도면 됩니다~ 그렇다고 세아리면서 시간을 보내지는 마시고 대충 찢으시면 됩니다~ 30줄기 40줄기라도 맛있어용~#양념장을 분량대로 섞어서 준비 한 다음~, 후라이팬에 식용유 2스푼을 넣고 간마늘 1스푼 (20g)을 , 부어서 약불에 천천히 노릇하게 튀겨주세요~, 양념 무게는 요요요~ 밑에 참고~, ------ 양념 ------ , 고추가루 반스푼 (3~4g), 설탕 1스푼(10g), 미림 2스푼 (16g) , 진간장 1스푼 (8g), 굴소스 반스푼 (5g), 물엿 1스푼 (10g) , 고추장 1/3스푼 (10g), 된장 1/3스푼 (10g), 물2스푼 (16g)#마늘이 노릇해 졌으면 마늘기름을 후라이팬에 넓게~ 골고루 흩어서 편 다음 그 위에 팽이 버섯을 펼쳐서 올린 다음 불을 강불로 올리고 30초간 구워 줍니다~ , 후라이팬은 좀 넓은걸 쓰세요~ 그래야 더 맛있어요~ 제가 쓴 후라이팬은 24cm 짜리에용~ 한뼘보다 조금 더 큰 싸이즈죠~#뒤집어서 30초를 더 구워 주세요~#앞뒤로~ 30초씩 총 1분을 지졌으면 양념장을 골고루 끼얹어 줍니다~ 양념을 끼얹고 1분 정도르 자글자글 끓여 주시면 되요~ 사실........, 저는 모양좀 잡을려고 저렇게 했는데 집에서 그냥 반찬으로 드실때는 마늘기름에 팽이넣고 그냥 대충 1분간 휘휘 저어가면서 볶은 다음에 양념장 뿌려서 1분간 또 대충 섞으면서 볶으시면 되요 ^^~, 누구한테 잘보일일 없어서 비쥬얼 필요 없이 먹을땐~ 대충 휘리릭 뽁으세용~#청양고추를 1개 잘게 잘라서 뿌려서 올린 다음 30초 정도 더 구워 주세요~ 청양고추랑 같이 주서 먹으면 완전 맛있어요~, 청양고추 안올리시면 그냥 30초 더 구우시면 되요~#밥한숟갈 입에 넣고~ 요렇게 양념 슥슥 뭍혀서 청양고추 한개 올리가 입에 넣어주믄 ㅜㅜ... 완전 맛있어용!~!#"
#최애반찬#소세지강정,초급, 비엔나 소세지 30개# 양파 1개# 캐첩 5큰술# 간장 1스푼# 설탕 1스푼# 식초 1스푼# 굴소스 1스푼# 올리고당 1스푼#,"소세지 슥슥 칼집을 넣어주세요.#끓는 물에 살짝 데쳐 주세요.데쳐주면 기름기도 빠지고 칼집도 선명해진답니다.#캐첩 5스푼, 간장 1스푼, 굴소스 1스푼, 설탕 1스푼, 식초 1스푼을 넣고 양념장을 만들어 주세요.다진마늘을 약간 넣어주면 양념치킨 맛이 나요.#달군팬에 양파 등을 볶아주세요.#데친 소세지를 넣어주세요.#양념장을 넣고 달달 볶아주세요.#윤기 및 달달한 맛을 추가하기 위해 올리고당 한바퀴만 둘러주면 밥도둑 최애반찬 완성입니다.#"
만물상에 소개된 불 없이 5분만에 만든 오징어채 황금 레시피!,아무나, 진미채 1줌(크게)# 고추장 1T# 고추가루 1T# 간장 1T# 다진마늘 1T# 깨 1T# 참기름 1T# 올리고당 2T# 마요네즈 0.5T# 물 2T#,진미채 한줌을 먹기 좋게 잘라 주시구요. 촉촉한 오징어채를 위해 양념 만드는 동안만 뜨거운 물에 담궈 불려 줍니다.#고추장1T+고추가루1T+간장1T+다진마늘1T+깨1T+참기름1T+올리고당2T+마요네즈0.5T+물2T를 넣고 잘 섞어 줍니다T:성인 숟가락 기준/마요네즈를 넣으면 훨씬 부드러워져요#오징어채는 물기를 짜지 마시고 그대로 체에 건져주시구요.그래야 촉촉한 오징어채가 되요#만들어 놓은 양념과 잘 섞어 줍니다.#양념이 잘 섞이면 비닐랩을 씌워주신 후 젓가락으로 구멍 2-3군데 내주시구요!전자레인지에 2분 돌려 주시면 끝!전자레인지#만물상에 소개된 불 없이 5분만에 만든 오징어채 완성입니다! 한입 먹어보니 촉촉하면서도 매콤달콤하니 간이 딱 맞고 맛있어요!요리 초보자분들도 쉽게 만들수 있어서 좋아요!#
"매운 어묵만들기, 빨간어묵 만들기~ 제대로된 매운어묵 양념장!! 이거 하나면 간식 안주 반찬!! 끝!!",아무나,버그,"계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다., 납작어묵을 3번 접어 꼬치에 꿰어 줍니다. 꼬치가 없을 경우 기호에 맞게 썰어서 사용하셔도 됩니다., 어묵은 장당 55g 짜리를 사용했습니다., **사진과 설명으로 부족하신 분은 링크된 동영상 참고 해주세요. 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~#양념장에 표기된 재료들을 모두 후라이팬에 넣어 줍니다., -- 재료별 무게환산정보, 고추장 1스푼 = 30g , 고추가루 1/3스푼 = 2~3g, 설탕 2스푼 = 20g, 간장&미림 1스푼 =8g, 물엿 1스푼 = 10g, 표기에 없는 무게 환산 정보는 계량하지 않은 부분이니 기호에 맞게 넣어주세요.#손잡이에 은박지를 한번 감싸주면 졸인 다음 벗겨냈을때 손잡이가 깔끔합니다.#불을 중불로 올리고 양념지 끓어 오르면 어묵을 넣어 줍니다.#잘 뒤집어 가면서 졸여 주세요.#후라이팬을 살짝 기울여 양념을 모아서 숟가락으로 끼얹어 주면서 졸여주면 양념이 사이사이에 잘 베어 들어 갑니다., 졸이는 시간은 3~4분 정도를 추천 드리며 양념이 너무 빨리 졸여질 경우 물을 50cc 씩 부어가면서 졸여 주세요., 양념을 끓이기 전에 물을 미리 준비해 놓는게 좋습니다.#대파가 흰부분을 조금 썰어서 올려 주면 씹는 향이 더욱 좋습니다.#남은 양념장에 밥을 조금 넣어서 볶아 먹어도 완전 맛있어요~, 김가루 필수!!!, 맛있게 드세용~#"
봄나물 알배추 무침 만들기 된장이랑 찰떡인 알배추 요리예요 :),아무나, 알배추 작은 거 2포기# 된장 2큰술# 다진 마늘 1큰술# 다진 대파 2큰술# 참기름 1큰술# 참깨 약간# 소금 약간#,"된장이랑 찰떡인 알배추 무침을 만들기 위해 , 필요한 재료들을 먼저 알려드릴게요!알배추 작은 거 2포기, 된장 2큰술, 다진 마늘 1큰술, 다진 대파 2큰술, 참기름 1큰술, 참깨 약간, 소금 약간 #노랑노랑 아삭아삭한 알배추예요~! , 야채는 냉장보관해도 금방 시들기 때문에 , 얼른 해결해야해요ㅋㅋ#알배추는 이파리를 하나하나씩 떼어준 뒤, , 흐르는 찬물에 3번 정도 깨끗하게 씻어주세요. , 이대로 먹어도 정말 맛있는 배추지만 , 더 맛있게 반찬으로 만들어볼게요 ^^#먹기 좋은 크기로 큼직하게 썰어줍니다. , 저는 2등분씩 잘라주었어요. , 배추를 너무 작게 자르면 물에 데치면서 , 더 쪼그라들기도 하고, , 큼직하면서도 아삭한 식감을 , 놓치고 싶지 않거든요ㅋㅋㅋ#송송 썬 대파는#잘게 다져서 준비해 주세요. , 저는 미리 썰어놓고 냉동보관한 대파를 사용했어요!#냄비에 물을 가득 넣고, 소금 약간을 넣어주세요.#그리고 물을 팔팔 끓여줍니다.#물이 끓기 시작하면 2등분으로 썰어준 알배추를 , 모두 넣어주세요.#그리고 딱! 1분만 데쳐줍니다. , 배추가 골고루 잘 데쳐지도록 집게나 젓가락으로 , 꾹꾹 눌러주면서 데쳐주세요. , 너무 오래 데치면 금방 무르기 때문에 , 1분만 데쳐주시는 게 좋아요~! , 무른 식감을 원하신다면 , 2분~3분 정도 데쳐주시면 될 것 같아요.#살짝 데친 배추는 체에 밭쳐 , 바로 흐르는 찬물에 식혀주세요.#딱 적당하게 잘 데쳐진 것 같아요 ^^ , 배추 자체에 물기가 많기 때문에 , 손으로 꾹꾹 눌러 물기를 짜줍니다.#이제 양념장을 만들게요. , 믹싱볼에 된장 2큰술, 다진 마늘 1큰술, , 다진 대파 2큰술과 고소한 참기름을 , 함께 넣어주시구요~#숟가락으로 골고루 섞어주세요.#여기에 물기를 꽉 짜 준 알배추를 모두 넣고#손으로 조물조물 무쳐줍니다. , 저는 위생장갑을 끼고 무쳐주었어요 ^^ , 음식은 역시 손맛 아니겠어요?ㅋㅋ#마무리로#고소한 참깨를 솔솔 뿌려주시면 , 초간단하면서도 입맛 돋우는 , 알배추 무침요리~ 완성이예요! , 아침에 공복인 상태에서 요리하니까 , 너무너무 배고프더라구요ㅋㅋㅋ , 바로 먹어보도록 하겠습니다.#어쩜 간이 딱! 맞는지ㅋㅋ , 정말이지 너무너무 아삭아삭하고 , 된장의 구수함이 짱 맛있더라구요 ^^ , 이거 진짜 입맛 돋우는 밑반찬이라서 , 추천드리고 싶은 요리예요. , 냉장고에 남아있는 알배추가 있으시다면 , 꼭! 만들어서 , 맛있는 반찬 드셔보시길 바래요~#"
담백한 새우연두부달걀탕,아무나, 연두부 1팩# 새우 10-12마리# 달걀 1개# 송송 썬 쪽파 1-2줌# 다시마 5cm x 5cm 1장# 간장 1-1.5T#,"우선 다시마물을 만들어요. 냄비에 물 붓고 다시마를 넣어 센 불에서 끓이다 끓어오르면 약불로 줄여 약 15분간 더 끓여주세요.#15분 후, 다시마는 건져 내고#수저로 듬성듬성 연두부를 퍼서 냄비에 넣어주세요.#그리고 새우 넣고 간장 1-1.5T 넣어주세요.#센 불에서 약 5분간 팔팔 끓여주세요. 떠오르는 거품은 걷어주세요~#불을 약불로 줄이고 달걀물을 원을 그려가며 쪼로록 부어주세요. 달걀물이 바닥에 붙지 않도록 한번만 휘이 저어주세요.#쪽파 올리고, 후추 톡톡하면 완성입니다. 간 보고 싱거우면 소금으로 간해주세요~#"
배추 된장 들깨무침,초급, 배추 10장# 된장 1ts# 들깨 1Ts# 참기름 1ts#,"배추는 한잎한잎 떼어서 깨끗히 씻어서 준비하고 반을 잘라서 준비해주세요.#끓는물에 배추 줄기부분부터 넣어서 데쳐준후 아랫잎쪽도 넣어서 데쳐주세요.#찬물에 재빨리 넣어 헹궈준후 슬쩍~짜서 물기 제거해주세요.#배추는 겹쳐서 준비한후 한입크기로 썰어서 준비#볼에 된장 1ts+참기름 1ts+들깨 1Ts를 넣고 잘섞어준후~ 어른들이 먹을꺼면 여기에 다진마늘 1/2ts을 넣으면 더 맛나지요.#된장에 배추를 넣고~ 조물조물 버무려주면 완성, 아이들이 먹을꺼라 간을 쎄게 하지 않았는데~ 어른들이 먹을꺼면 양념을 2배로 한후 무쳐주면 되지용~#"
매콤버섯덮밥~한그릇,아무나, 느타리버섯 80그램# 양파 60그램# 대파 1대# 밥 1공기# 참깨 약간# 간장 1+1/2숟가락# 물 3숟가락# 고추가루 2숟가락# 참기름 1/2숟가락# 설탕 2/3숟가락#,"느타리버섯은 길게 찢어주시고 양파는 채썰어주세요, 느타리버섯대신 새송이버섯이나 다른버섯을 사용하셔도 좋아요#양념장재료를 섞어 양념장을 만들어주세요#달군팬에 대파를 넣어주세요#양파를 넣고 센불로 20초정도 볶아주세요#버섯을 넣어 1분간 더 볶아주시다가 중간불로 줄여 양념장을 넣어 볶아주세요, 더 맵게 드시고 싶은 분들은 여기에 청양고추를 더 넣어주시며 되세요#양념장재료가 스며들도록 30초정도 볶아주신후에, 그릇에 밥을 담고 밥위에 올려주신후에 참깨를 솔솔 뿌려 주세요#"
【반전의맛】스팸 양배추 덮밥 만들기~,아무나, 양배추 2주먹# 양파 1/2개# 대파 10센티# 스팸 100g# 땡초 2개# 다진마늘 1/2T# 간장 2T# 굴소스 1T# 참기름 1T# 설탕 1/2T# 후추 2번톡톡# 물 5T#,"스팸200g짜리 반만 사용했어요^~^, 땡초두개,채썬양배추 두주먹,대파 10센티,양파 반개를 먹기좋게 썰어 주시구요~(애들은 땡초대신 파프리카 넣어도 맛있어요)#후라이팬에 기름을 두르고 대파랑 마늘 반스푼 넣어서 볶아주세요~#그다음 스팸을 (100g)넣고 볶다가 양파반개,땡초두개넣어서 볶아 주시구요~#양배추 넣어서 볶아주세요^~^이때 굴소스한스푼,간장두스푼,설탕반스푼,참기름한스푼,후추2번톡톡해서 볶아주시다가#물을 다섯스푼정도 넣고 볶아 주시면 완성입니다^~^#제가 아침겸점심겸저녁으로 , 먼저 먹어봤는데 너무 맛있어서 우리가족님 저녁으로 해줬더니 잡채맛이 난다고 너무 맛있다고 한그릇 뚝딱 해주시네요ㅎㅎ, 정말 강력추천합니다 김치하나랑 먹어도 엄지척이에요^~^♥#"
양배추 참치덮밥 /Cabbage tuna bowl of rice,아무나, 참치캔 100g# 양배추 170g# 양파 1/2개# 대파 1대# 식용유 2Ts# 쌀밥 180g# 고춧가루 1Ts# 고추장 1Ts# 올리고당 1Ts# 굴소스 1Ts#,"참치캔은 기름을 제거한다.#양배추는 사각으로 잘라 준다.#양파는 사각으로 잘라 준다.#대파는 송송 썰어 준다.#프라이팬에 식용유, 대파를 넣고 향이 날 때까지 볶는다.#대파의 향이 나면 양배추를 넣고 볶는다.#양파를 넣고 볶는다.#고춧가루, 고추장, 참치, 올리고당, 굴 소스를 넣고 볶는다.#그릇에 밥을 담아 준비한다.#밥위에 덮밥소스를 올려준다.#"
손님 초대용으로도 좋은 유산슬느낌 청경채부추새우덮밥,초급, 청경채 4뿌리# 부추 1줌# 새우 12마리# 버섯 1~2줌# 양파 1/2개# 다진마늘 1T# 청양고추 2개# 식용유 3T# 굴소스 1T# 간장 1T# 참기름 1T# 소금 선택# 후추 조금# 전분가루 1T# 물 250ml#,요리를 시작하기전에 먼저 냉동새우는 해동을 위해 한번씻어서 채에 받쳐두고 후추를 조금 뿌려줘요!#물 250ml(한컵)에 전분가루(전 감자전분썼어요!)녹말물도 먼저 만들어요!#팬에 식용유를 두르고 다진마늘 1큰술과 양파 1/2개를 볶아요!#양파가 조금 흐물해졌다 싶을때 해동시킨 새우를 넣어요!#새우가 맛있게 붉으스름해질때까지 볶아줘요#새우가 어느정도 익어갈때쯤 씻어놓은 청경채를 넣어줘요!#청경채에 숨이 죽을때까지 20초정도 볶아주다가#숨이 어느정도 죽으면 버섯과 굴소스 1T 간장1T를 넣고 휘리릭 볶아줍니다#준비했던 녹말물을 다시 잘 풀어주고 넣어주세요!#센불로 촤르르 볶은후 불을끄고 부추한줌과 참기름을 넣고 뒤적여주세요! 기호에따라 청양고추를 썰어주셔도 좋아요!#밥위에 부어주면 완성!#
볶아 먹는 시금치도 맛있다♪ 시금치달걀볶음,아무나, 시금치 1/2단# 달걀 3알# 기름 2-3T# 다진파 1줌# 소금 3꼬집#,"시금치는 깨끗하게 씻은 뒤 먹기 좋게 잘라주세요.시금치 1/2단#달걀 3알은 소금 한꼬집 넣어 잘 풀어주세요.달걀 3알, 소금 한꼬집#팬에 기름 살짝 두르고 달걀물을 넣어 약불에서 젓가락으로 저어가며 스크럼블 에그를 만들어 주세요.기름 약간, 달걀물약불#만들어진 스크럼블 에그는 접시에 잠시 덜어놓아 주세요.#팬에 기름 2T, 다진파 한 줌을 넣어 약불에서 파기름을 만들어 주세요.기름 2T, 다진파 한줌약불#파향이 올라오면 센불로 올리고 시금치를 넣어주세요.시금치센불#시금치 숨이 살짝 죽으면 소금 두꼬집 정도 넣어 잘 섞어주세요.소금 2꼬집센불#그리고 아까 만들어 놓은 스크럼블 에그를 다시 넣어 잘 섞어주면 완성입니다:) 부족한 간은 소금으로 맞춰주세요.스크럼블 에그센불소금 대신 굴소스를 조금 넣어주셔도 좋아요.#"
비엔나 소세지강정 간단하게 만들어 먹기 좋아요 ♪,아무나, 비엔나소세지 220g# 견과류 약간# 식용유 약간# 설탕 1큰술# 진간장 1큰술# 케찹 1큰술# 다진마늘 1/2큰술# 올리고당 2큰술# 물 2큰술#,"먼저 양념은 위의 분량대로, 미리 섞어서 만들어주세요, 하면서 넣는것보다 미리 만들어둬야, 훨씬 시간도 절약되고 편하답니다 :)#저는 비엔나소세지 반쪽만 십자모양으로, 칼집을 내줬는데요, 꼭 십자모양이 아니더라도 원하시는 방향대로, 내주셔도 상관없어요 ~#끓는물에 넣고 칼집이 조금 벌어질 정도로만, 살짝 데쳐주세요 ~#기름에 튀겨야 하니깐 물기제거 꼭 해주시고요#팬에 기름을 적당히 붓고 , 데쳐준 소세지를 넣어 겉면이 살짝, 바삭해질 정도로 튀겨주세요, 오목한 팬에다 하시면 조금 더 편해요 :)#소세지의 겉면이 살짝 바삭해졌다 싶을때, 미리 만들어두었던 양념을 넣어주세요#비엔나소세지 위로 양념이 골고루 묻어나게, 팬을 기울여 양념을 수저로 얹어주면서 졸여줬어요, 오목한 팬에 했음 좀 더 수월한데 ㅠ, 어쨌든 양념이 소세지에 골고루 묻어나면서, 졸아들때까지 볶아주시면되고요#견과류를 위에 촥~ 뿌려주고, 한번 더 볶아주시면 비엔나 소세지강정 완성 ~, 견과류는 선택사항이니 꼭 넣진 않으셔도 되는데, 넣으시면 좀 더 고소한맛을 더하실수 있겠죠 ^^#비엔나소세지외에 다른 재료가 들어가지 않고, 양념만 만들어주면 되니 더욱 간단하게 느껴지는데요, 여기에 떡을 같이 넣어서 해먹어도 아주 맛있어요 ~, 떡을 같이 넣어주실땐 양념 비율을 좀 더 높게, 잡아주시면 되고요, 조금 더 매콤하게 드시고 싶다! 하시면, 고추장을 조금 추가해서 만들어주세요#"
즉석 목살 양념구이~ 달큰한 양념소스가 정말 맛있습니다.,초급, 돼지목살 300g# 설탕 1T# 진간장 1-1/4T# 물엿 2T# 간마늘 1/2큰술# 생강가루 1꼬집# 맛술 1T# 굴소스 1/2T# 후추가루 1꼬집# 대파 다진거 1큰술#,"페이지속 레시피 동영상 시청과!! 유튜브 구독은 레시피 제작에 커다란 힘이 됩니다!!, 즉석양념 재료를 모두 넣고 설탕이 완전히 녹을때 까지 잘 저어주세요.#프라이팬을 충분하게 예열 한 다음 목살을 구워 주세요., 불이 너무 약하면 고기에서 육즙이 다 빠져 나오고 비린내도 날수 있습니다~ 꼭 쎈불에 양면을 구워 주세요., 나중에 양념에 조릴거라 안쪽까지 다 안익어도 됩니다~, 겉면이 노릇해 질때까지만 구워주세요.                    , ,                             [만개특가] 프리미엄 이베리코 500g 꽃목살,황제살 외 특가                        , , #목살의 양면이 노룻해지면 양념장을 골고루 끼얹어 주세요.#양념장을 부은 다음 물 20cc 정도를 부어주세요., 양념장을 만드실때 함께 넣어도 상관없습니다.#30초 정도 바글바글 끓여 주다가 불을 완전히 줄이고 고기를 먹기 좋은 크기로 잘라주세요., 불을 안줄이고 자르면 양념장에 수분이 순식간에 증발해 버려서 양념이 타기 시작합니다. 커팅 할때는 불을 완전히 줄이고 커팅 해주세요~#커팅을 완료 하셨으면 불을 강하게 두고 주걱으로 잘 저어 가면서 양념을 졸여 주면 됩니다. 시잔처럼 양념이 거의다 졸여져서 수분이 안보일때까지 졸여 주시면 됩니다~#완성입니다~ 윤기가 파르르 한게 정말 맛있엇어요~, 밥반찬으로도 술안주로도 강추 입니다~, 페이지속 레시피 동영상 시청은 레시피 제작에 커다란 힘이 됩니다.#"
대파 닭안심 조림,아무나,버그,"닭안심 도톰히 썰어주고 대파1cm 크기로 썰어줍니다, 통마늘은 반으로 잘라주세요#궁중팬에 물200ml, 간장3큰술, 자일로스설탕 1.5큰술, 맛술2큰술, 후추톡톡 , 넣고 저어 준 후 닭안심 투하~ 바글바글 끓여 주다가#대파,통마늘 넣고#중불에서 양념이 조려지도록 끓여줍니다#짜작하게 조려지면 약불로 , 줄이고 다진마늘 반큰술, 넣어#슥슥 저어 조려내시면 완성#"
